"No markings on the guide",,"P4"
"She knows where to go in the book",,"P4"
"Mostly looks at diagnostic testing",,"P4"
"accumulating evidence that if diabetes you need higher dosage",,"P2"
"Likes having things searchable",,"P2, DI"
"well organized topics would work so you don't need free text search",,"P2, DI"
"Calculators are built-in the computer systems",,"P1"
"For TB some drugs have interactions with other drugs, computer will alert you of this",,"P1"
"Most of clinical dilemma is at active TB",,"P1"
"Familiarity helps to know what book to open",,"P9"
"Skeptical of online information",,"DIM, P9"
"Will call to request if she can use information from other states",,"P9"
"Drug resistance is very specific to each drug",,"DIM, P8"
"Has 3 sticky tabs in guide for extra pulmonary and drug dosage charts",,"P8"
"Keeps charts tabbed (outside book)",,"P8"
"Book is technical information, contacts is behavioral information",,"P7"
"Social media not a TB patient's friend with teenagers",,"P7"
"Makes copies of dosage pages and sends them to nurses",,"P7, DIM"
"Book opens directly to dosages pages",,"P7, DI"
"guide opens in a specific page",,"P5, DI"
"information lives in bible, state guidelines, county protocols, and emails",,"P5"
"Keeps black book with all numbers in IP and Micro, would be great to have social workers",,"P5, DI"
"provider dependent guidlines stay in email",,"P5"
"Will call cell phone, not clinic number",,"P6"
"Likes the picture of the cover with the virus, its how it looks under microscope",,"P6, DIM"
"New book she checks the content to see if changed",,"P6, DIM"
"relies on flags put beforehand, tells callers that info is from GDPH so may differ",,"P3"
"uses color flags, one color for LTBI, other for pediatrics, cases is blue, flags for awareness",,"P3, DI"
"When ALT is elevated x3 look at specific page, tells nurses",,"P3"
"If nurse would look up treatment",,"P4"
"A pain to go online to CDC website",,"P4"
"new information won't be on the guide, it's a problem",,"P4"
"uses find in page topic in UpToDate",,"P2"
"Workup and diagnosis is for med students, then management later",,"P2, DIM"
"doctors more familiar with LTBI regimens",,"P2"
"When referencing things you want it to be quick, charts, search function",,"P1, DIM"
"wants to see dosing of initial TB regimen",,"P1"
"to learn more about TB uses ID books or pubmed",,"P1"
"Opens the regimen page often",,"P9"
"for physicians, better show than tell",,"DIM, P9"
"Likes it to be a clean copy, but will put flags on top",,"P9"
"In charts looks at site of disease",,"DIM, P8"
"Different charts for adults and pediatrics",,"DIM, P8"
"Paragraph don't include that much relevant information, more of a secondary read",,"DIM, P8"
"Will flip through guide to find where stuff is",,"P7"
"otherwise table of contents",,"P7"
"Likes comparing old guide with new guide and with protocol",,"P7, DI"
"on pdf will scroll until finds what she needs",,"P7"
"Organized by the times when things are added",,"P5, DIM"
"Now organized by institution, 50 - 75 names, she includes prompts to work the phone tree 1#, etc",,"P5, DIM"
"wants it to be distributed, she agreed already to look at the information",,"P5"
"trained a new TB coordinator specially on dosing with guide",,"P5"
"They dont email changes to protocol anymore so she has to check website",,"P6"
"All information she needs is in guide",,"P6"
"Looks at length of treatment, side effects of medication, recommendation regimen, what is right medication recommended",,"P6"
"With uncommon questions checks table of contents, if not calls state people, email works better",,"P3"
"Everything channels through TB nurse coordinator, if not state",,"P3"
"Has not used PDF version",,"P3"
"keeps separate files with new info on computer or print copy",,"P4, DIM"
"Not used PDF version",,"P4"
"sometimes has to refer people to other contacts or departments",,"P4"
"Goes to UTD or CDC website for extra info",,"P2"
"Checks pubmed too",,"P2"
"UTD more used on the field to discuss with team",,"P2"
"Current guide is well organized, liked tables, lot of info but not too much text on page, easy to read",,"P1, DIM"
"contact numbers of people are not advertised online so helpful they are in the guide",,"P1"
"Has printed PDF and will mark it",,"P9"
"marks FAQ, when is two step due, agar questions, uses highligher",,"P9"
"Will remember who asked question and looks for email searching name",,"DIM, P9"
"protocols are succint, very specific, nurses use it",,"P8"
"sometimes patients can't be treated with protocol so then use physicians judgement",,"P8"
"Cases of multi drug resistance must be notified to state department",,"P8"
"Recently stranger patients, had to ask Marcos, etc",,"P3"
"never had multi-drug resistance",,"P3"
"Sometimes called at home so would be good to have on phone",,"P3"
"when sharing book with nurses will tell them what has changed",,"P7"
"doesn't use pdf often",,"P7"
"office keeps contact list for all",,"P7"
"if it cross-references pubmed it'd be helpful",,"P5, DI"
"many questions about isolation, and conversations with provider",,"P5"
"Guide just includes suggestions, would be good to make some things highly recommended than others",,"P5, DI"
"Charts and graphs tell you where you are, no table of contents",,"P5, DIM"
"Information is in paragraphs but also tables",,"P6"
"In Aug 2019 new treatment BPAL, so new she had to go searching for other state guidelines",,"P6"
"She made a table because easier to look at and remember",,"P6, DIM"
"Numbers used often keeps onhand, specially if state office",,"P4"
"Wants TB diagnositc testing in app, also things search would be helpful",,"P4"
"speed of change of info is increasing",,"P4"
"doesn't use UTD links because not access to proxy",,"P2"
"Sanford has better treatment options (dosing)",,"P2"
"UTD for diagnostic",,"P2"
"Used to print emails but tries to stay away from paper",,"P9"
"Has a list with all health departments, hospitals, other facilities, different colors for sections",,"DI, P9"
"A lot of phone numbers updated periodically, she does some and shared with other people",,"P9"
"Cases of refusing to take medication can cause legal action",,"P8"
"Will call other coordinators for cases in their districts, and contact investigations",,"P8"
"For schools needs names of students, teachers, extracurriculars, etc",,"P8"
"keeps track of conversations in separate book",,"P3, DIM"
"book section in areas to keep things together: i.e. multi-drug resistance, ASTs, notes on lab cores, on when to stop med, info on immigrants and B1 visas",,"P3"
"Has ribbon marker and pulls out info",,"P3, DIM"
"Opens first guide then diary",,"P3"
"would like to have access to ID people in different hospitals",,"P7, DI"
"nurses should have list with what county is on what district and who to contact",,"P7, DI"
"spends a lot of time compiling information for each case, people don't know where to send it to",,"P7"
"""TB anywhere is TB everywhere""",,"P5"
"""TB has landed, you won't be able to outrun it""",,"P5"
"Book comes out every 5 years, state guidelines every 2",,"P6"
"Need to keep date of change so people know when it's from",,"P6, DI"
"State has a manual for contact investigation and blood draw, book is more for MDs and state is for us",,"P6"
"Digital is easy to find topics, visuals break text is helpful, references in literature helpful to doctor or fellow if interested in background knowledge",,"P2"
"relies on guide being to the point and decision actions, lab tests, monitoring",,"P2"
"more likely to use pdf because searchable",,"P2"
"""Not everybody needs the same numbers list""",,"DIM, P9"
"info includes, name, address, main number, IP #, fax, radiology dep, microbio lab, emails, each row is one entry",,"P9"
"organized alphabetically",,"P9"
"In hospitals calls IP department",,"P8"
"Keeps contact list spreadsheet",,"P8"
"facility name, name of contact, role (sometimes multiple providers), phone number, cell, office num, fax, email, city, county",,"P8"
"~35 numbers of hospitals",,"P8"
"in back of booklet keeps contact info from hospitals, jails, etc, colleges (has direct phone lines)",,"P3, DI"
"numbers for IP in hospital, jail per county, radiology dep, college who do TB or HIV",,"P3"
"themes for numbers as well, started a new page callled internal doctor",,"P3"
"would want contact for the TB state lab",,"P7"
"some of the critical lab values for liver function very important, not on the guide",,"P7, DI"
"current guide has most critical information in a concise manner, no fluff",,"P7, DIM"
"Wants to include in app content, active TB, contact list, side effects of medication",,"P6"
"nothing to remove but yes to add",,"P6"
"Goes from table of contents to page to look for things",,"P6"
"reaching out to experts in dph easy once you get the phone number",,"P2"
"most people call susan ray and she gives you numbers which you accumulate over time, sometimes hard to know what is patient facing vs internal",,"P2"
"Will keep track of what has changed with sticky tabs, when time to revise will use that to remember",,"DIM, P9"
"some info changes very often but others don't, takes a month to verify all info",,"P9"
"footnote tells her date last updated and who revised it",,"DIM, P9"
"Will also have private offices and imaging centers in list",,"P8"
"list is alphabetical if organized by facility",,"DIM, P8"
"Charts are hard to memorize",,"P8"
"Has to do investigation to track down patients cases",,"P3"
"wants to keep numbers so not go on google",,"P3"
"she updates the list of contacts with people and shares it",,"P3, DIM"
"Shares the book with page open in Quantiferon and shows doctors",,"P6"
"If at work looks on computer, if at home on the phone",,"P6"
"Favorite app is bank account, checks the right track to lower insurance",,"P6"
"Worked on updating when there is downtime",,"P9"
"sticky notes not shared unless relevant",,"P9"
"contact list may contain hospitals from other districts",,"P9"
"Would like help with contact investigation to be on guide, what questions to ask",,"DI, P8"
"Currently use a pdf table to populate contact details",,"P8"
"For contact investigation will write on paper and then transcribe",,"DIM, P8"
"app must include local district coordinators, also state numbers so they can refer you",,"P3"
"if you put my phone number in there and I'm gone it will be outdated soon",,"P3, DIM"
"Current guide is self-explanatory, but nurses who are new may not know as much as i do",,"P3"
"for shared patients will call TB coordinator",,"P9"
"Would be good to have list of resources in back of guide, new drugs that come up in trainings but nothing on book",,"DI, P9"
"CDC training updated more often than guide",,"P9"
"Uses same colors as with charts from her cases, cases are red, LTBI yellow",,"P3"
"tries not to write in it so she can share it with people",,"P3"
"Current guide sometimes is shared",,"P3"
"At some point you knew not to look at guide (2014) because some things had chnaged",,"P9"
