Visitor ID,Date,Response,Account ID (All Apps)
_PENDO_T_M_16640502522565605892,2022-06-05 8:59:25,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_15564753178289261861,2022-02-25 9:08:34,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_17358467103972451428,2022-02-25 11:29:46,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_5073461432108295358,2022-04-10 22:15:37,Physician (MD/DO),GTRG
_PENDO_T_M_17098351898871065851,2022-05-19 17:41:05,Advanced practice professional (nurse practitioner or physician assistant),GTRG
_PENDO_T_M_9196942762350782606,2022-02-13 13:58:38,Physician (MD/DO),GTRG
_PENDO_T_M_13058307799947267324,2022-04-07 9:02:29,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_10709848340436671120,2022-03-24 9:10:57,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_15695673037923268526,2022-03-24 11:59:17,Physician (MD/DO),GTRG
_PENDO_T_M_2587259198159948450,2022-03-24 10:17:33,Other,GTRG
_PENDO_T_M_3300389546554610828,2022-03-24 8:18:09,"Physician-in-training (MD/DO, e.g. resident or fellow)",GTRG
_PENDO_T_M_7608999803060599695,2022-03-24 10:37:49,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_1489227424511542073,2022-02-28 10:04:04,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_185074916674181653,2022-02-28 13:09:09,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_8973073985755936522,2022-05-09 11:17:22,Physician (MD/DO),GTRG
_PENDO_T_M_2229062579812006226,2022-01-20 10:35:30,,GTRG
_PENDO_T_M_11494152540134906738,2022-04-12 17:18:53,Physician (MD/DO),GTRG
,,,
_PENDO_T_M_0A326289724E50827B4D4F6076054C0C24F87D79F3D7498C8A6ED6EDFECE9C1A,2022-06-16 13:32:43,"Nursing student (LPN, RN, CNS)",GTRG
_PENDO_T_M_0DA6E8EBD74E9E26E43209EE1D8B2A85F3D2ADFE3FDC2A55FC3B624F8567F019,2022-06-16 13:23:32,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_1E874D94B25CABF73AF441C07433D8EF9D8EE999A4A5B67FC9C48471050463EB,2022-06-16 13:23:33,Medical student,GTRG
_PENDO_T_M_AC5AC3DC44705CBF3916EDAD66C7313033473B869CCFAB5EC8A101DCA0FA1A8F,2022-06-16 8:48:02,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_BD52C023473BEF3B89846F7AE7EE8BAE765BE5BEBC49D8BF4D820F384F83511D,2022-06-16 8:48:48,Physician (MD/DO),GTRG
_PENDO_T_M_C9FFD12DA340E9A053D5B991BF5CB07432BB9A7DC50F29CD1E217AA701D3AAEF,2022-02-14 6:20:46,Medical student,GTRG
_PENDO_T_M_8E7F7C18BA4BB7DFDCF709BBAE76A55EF688E7CC3B74D283FA0C43E9C34A5E29,2022-05-02 11:25:40,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_B068854F9ED6DAC41344B6919070A6785045179F262E146100F7490F2A0B0AAF,2022-04-25 17:16:28,"Physician-in-training (MD/DO, e.g. resident or fellow)",GTRG
_PENDO_T_M_A46E38A5D70D89E9861D2DCCD9C670E11EF3FAB9BB98E32BD9BB96656F1E1CD2,2022-02-25 13:47:04,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_6A7DE0958F04D9CF4C393521009DAECF0A16C566EA2F67C9D1661587B4FA51B4,2022-04-15 19:20:56,Medical student,GTRG
_PENDO_T_M_70B79679A0B79C50D9225184F0ADE08CFD5BF509559FDB50471BED82E3B84E6E,2022-04-15 12:55:14,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_04FA63A3B912881E48105E5FC4A8E043B06D534F79AD09E89C0F8979CEF4D5F0,2022-06-02 9:02:05,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_935A9BAF372A3BCB8756004EF64922FFC461AC376805E77D5CDA60598D70BB43,2022-03-03 12:12:04,Other,GTRG
_PENDO_T_M_48E45323630DB1A466D4959B8FCADE65B2603B12524EAFA948FF14319629254C,2022-03-02 11:29:12,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_0B32E3244FD766A14C03BF349E03C7A920B00C08087F3A54197BD177876C7E00,2022-03-01 16:19:12,Other,GTRG
_PENDO_T_M_4254EEFFCC25D8BAB3F9AB1DC7B98C46FF124F19CF81B085AC8FC38A4A1FB5EA,2022-03-01 11:25:23,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_86AD6B6BF1789CE03F3AD4CBFD34513241960F5700A307A7111E63EC72D4D250,2022-03-01 11:06:38,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_AD8A3BCFA76B2004C3A5B79ED9C5650A9905FDF9275E10D64C3DBD838FD0E4C2,2022-03-01 17:19:00,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_D680D8D96C35DC68CC95E2ED175F14F2126D36EF4416D27573737C583E681030,2022-03-01 9:13:45,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_0AE2B965AD6CDE162E3ADB8EA1CE0273390CAE14A1A2600CFD85BFF1FC0A1739,2022-04-13 1:02:39,Physician (MD/DO),GTRG
_PENDO_T_M_137B602F13106DCDED88A2F05B16282ED3BA77C51D70136F80B25300E578F572,2022-03-15 14:41:23,Physician (MD/DO),GTRG
_PENDO_T_M_FC762843A0CD5B592B9537BFCA1B149473369EA35D7A1CC6D17273953AE9CCCD,2022-05-11 16:14:59,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_6CCDD5A0B73DC69FCD3918921A5CDE2BA7764D815E9E5BAF2B7B0F87B92E1795,2022-02-23 10:53:54,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_A0D580F74EBC1115C39C2CB64307DB0CEBD7AFF4E19E1C971453838BCCB3E26B,2022-02-23 11:12:57,"Nurse (LPN, RN, CNS)",GTRG
